dwell-times,peak-sum
3,194.32
4,32.12
7,153.84
3,26.08
4,26.07
6,78.41
4,26.08
8,266.42
4,55.33
4,38.18
6,102.81
5,484.17
4,24.06
6,29.06
11,61.15
6,149.09
4,28.09
4,134.28
4,54.34
3,22.06
11,155.99
3,18.05
3,62.5
4,42.17
6,152.49
5,240.13
13,847.63
10,220.61
7,220.63
5,256.2
6,681.93
10,390.56
3,14.03
18,512.28
5,111.13
6,115.01
7,58.25
12,626.09
4,33.1
5,44.17
6,75.46
3,24.08
8,138.48
3,22.05
7,179.71
7,501.73
6,469.48
4,16.02
5,74.55
6,106.89
4,24.05
9,62.19
3,43.25
3,13.02
8,202.8
5,130.63
4,54.35
3,20.05
3,30.11
9,347.26
4,24.06
6,238.87
7,53.21
5,40.14
11,1150.13
4,20.05
4,28.08
8,97.62
5,36.11
8,118.76
3,13.02
7,172.36
8,470.21
4,38.17
4,16.02
3,11.02
8,291.67
7,257.54
17,811.47
3,17.04
8,283.02
6,84.59
8,203.46
5,208.94
9,309.22
6,51.19
3,108.75
5,61.34
3,17.04
4,23.06
11,439.44
14,557.67
5,48.19
4,55.42
5,25.05
5,66.4
11,529.67
5,27.05
11,123.73
3,10.01
5,140.6
3,13.03
6,552.9
5,24.05
3,26.08
4,25.07
5,83.81
4,29.08
4,42.19
9,102.52
7,40.11
7,95.78
9,933.65
6,97.77
4,123.33
3,16.04
5,68.46
8,244.54
6,45.15
6,336.68
10,450.83
8,648.59
5,150.63
7,50.16
3,27.1
4,39.15
3,16.04
3,19.05
5,20.03
3,16.03
5,370.19
4,43.22
5,30.08
5,111.12
3,88.13
5,69.43
4,84.9
4,78.68
9,127.1
6,37.09
5,71.47
9,320.6
8,199.32
4,15.03
7,112.83
5,62.48
9,1125.4
3,86.23
5,31.07
5,79.55
6,91.79
3,36.21
8,128.01
8,55.16
13,90.3
4,16.03
5,44.18
4,15.01
9,267.83
5,23.05
7,63.22
6,141.54
9,812.91
5,196.73
5,43.21
4,80.72
3,45.3
6,258.8
4,34.11
11,90.37
4,55.34
18,168.78
3,22.06
7,81.49
3,15.03
7,121.35
6,64.31
3,20.06
6,284.11
6,32.07
5,251.87
6,172.28
4,56.34
3,19.05
8,268.31
5,172.24
6,534.49
4,90.01
8,588.75
6,70.31
7,90.46
